Judul,Penulis,Link,Abstrak
"Pengenalan Ekspresi Wajah dengan Variasi Pencahayaan Menggunakan Local Ternary Pattern, Convolutional Neural Network dan Extreme Learning Machine.","Krisnahati, Ice",http://repository.its.ac.id/95909/,"Pengenalan ekspresi wajah secara otomatis banyak dimanfaatkan pada interaksi manusia dan robot, permainan visual interaktif, dan deteksi gangguan mental. Oleh karena itu, pengenalan ekspresi wajah secara otomatis masih menjadi perhatian peneliti di bidang visi komputer. Berbagai macam metode telah diusulkan untuk mengatasi masalah variasi pencahayaan. Berdasarkan penelitian sebelumnya, citra Local Ternary Pattern (LTP) yang diklasifikasikan dengan metode Convolutional Neural Network (CNN) mampu mengatasi variasi pencahayaan. CNN merupakan metode klasifikasi yang handal, tetapi memiliki waktu pelatihan yang lebih lama untuk arsitektur yang lebih rumit. Pada penelitian lain, Extreme Learning Machine (ELM) dimanfaatkan untuk memodifikasi CNN pada lapisan klasifikasi untuk mengatasi waktu pelatihan yang lama.  Penelitian ini menggabungkan metode yang sudah diteliti sebelumnya dengan memanfaatkan kelebihan masing-masing metode. Citra LTP digunakan untuk mengatasi masalah pencahayaan. Kemudian, citra LTP tersebut digunakan sebagai input pada arsitektur CNN untuk proses ekstraksi fitur. Pada lapisan klasifikasi, CNN dimodifikasi dengan menghilangkan lapisan fully connected dan menggantinya dengan metode ELM. Tujuan dari modifikasi CNN tersebut adalah untuk mengatasi pelatihan yang memakan waktu pada backpropagation. Sehingga, penelitian ini membangun model dengan kombinasi metode LTP, CNN, dan ELM.  Pengujian metode menggunakan dataset KDEF dengan total 980 citra wajah dan tujuh kelas ekspresi wajah, yaitu marah, senang, sedih, takut, netral, jijik, dan terkejut dengan variasi pencahayaan mulai dari agak gelap sampai agak terang. Hasil pola kombinasi yang dihitung berdasarkan rata-rata dari pola atas dan pola bawah citra LTP menghasilkan akurasi paling tinggi jika dibandingkan dengan pola atas dan pola bawah citra LTP. Evaluasi menggunakan 10-fold cross-validation menunjukkan bahwa kinerja kombinasi metode LTP, CNN, dan ELM menghasilkan nilai akurasi sebesar 85,51% dengan waktu pelatihan 1.876 detik. Nilai akurasi ini meningkat bila dibandingkan dengan penelitian sebelumnya. Berdasarkan hasil tersebut, penelitian ini mampu mengatasi masalah pencahayaan pada kasus pengenalan ekspresi wajah============================================================================================================================Automatic facial expression recognition is widely used in human-robot interactions, interactive visual games, and mental disorder detection. Therefore, automatic facial expression recognition is still an exciting task for researchers in computer vision. Various methods have been proposed to solve the lighting variation problem. Based on previous research, Local Ternary Pattern (LTP) images classified by the Convolutional Neural Network (CNN) method can handle lighting variations. CNN is a reliable classification method but has a longer training time for more complex architectures. In another study, Extreme Learning Machine (ELM) was used to modify CNN at the classification layer to overcome the long training problem. This study combines methods that have been previously studied by exploiting the advantages of each method. LTP images are used to solve lighting problems. Then, the LTP image is used as input to the CNN architecture for the feature extraction process. At the classification layer, CNN is modified by removing the fully connected layer and replacing it with the ELM method. The purpose of the CNN modification is to overcome the time-consuming training on backpropagation. Thus, this study builds a model combining LTP, CNN, and ELM methods. This research used the KDEF dataset with 980 facial images (frontal face) and seven facial expressions: angry, happy, sad, scared, neutral, disgusted, and surprised, with lighting variations ranging from dark to bright. The combination pattern results calculated based on the average of the top and bottom patterns of the LTP image produce the highest accuracy compared to the top and bottom patterns of the LTP image. Evaluation using 10-fold cross-validation shows that the performance of the combination of LTP, CNN, and ELM methods produce an accuracy value of 85.51% with a training time of 1,876 seconds. This accuracy value increases when compared to previous studies. Based on these results, this study was able to overcome the lighting problem in the case of facial expression recognition"
Pengembangan Kursi Roda Otonom Berbasis YOLOV8 Untuk Penghindaran Obstacle.,"Kusuma, I Gst Ngr Agung Hari Vijaya",http://repository.its.ac.id/111406/,"Pengembangan kursi roda otonom telah menjadi semakin penting dalam meningkatkan mobilitas bagi individu dengan mobilitas terbatas. Studi ini mengusulkan pengembangan sistem kursi roda otonom berbasis YOLOv8 untuk menghindari obstacle, khususnya fokus pada deteksi obstacle manusia. Dengan memanfaatkan kemampuan deteksi objek yang canggih dari YOLOv8, sistem yang diusulkan bertujuan untuk mendeteksi dan menghindari obstacle manusia secara efektif. Sistem tersebut mendeteksi manusia melalui video menggunakan Intel NUC dan Kamera. Obstacle yang terdeteksi membuat NUC mengirim perintah ke ESP32 untuk menjalankan motor untuk melakukan manuver penghindaran. Pengujian performa keberhasilan penghindaran dilakukan dengan 30 kali percobaan pada objek manusia yang diam. Hasil pengujian menunjukkan bahwa kursi roda berhasil menghindar sebanyak 30 kali tanpa gagal, memberikan tingkat keberhasilan sebesar 100%. Hal ini menunjukkan bahwa sistem kursi roda otonom yang dirancang mampu melakukan penghindaran rintangan dengan sangat baik.========================================================================================================="
Analisis Sentimen Warga Indonesia Terhadap Penanganan Kasus COVID-19 Menggunakan Metode Naïve Bayes Dan Support Vector Machine (SVM).,"Lestari, Dhany Nastiti",http://repository.its.ac.id/91616/,"Kehidupan masyarakat zaman sekarang mengalami banyak perubahan akibat dari perkembangan ilmu pengetahuan  dan teknologi. Masyarakat menjadi lebih reaktif menanggapi fenomena disekitar, termasuk  berita, kebijakan, serta upaya-upaya pemerintah menanggulangi pandemi COVID-19. Feedback masyarakat mengenai upaya-upaya pemerintah menanggulangi bencana dapat dijadikan bahan evaluasi untuk meningkatkan kinerja. Untuk mendapatkan hasil yang dapat dilihat secara jelas maka digunakan proses klasifikasi terhadap opini-opini masyarakat menjadi opini dengan sentimen positif serta sentimen negatif. Data teks yang didapat dari tweet masyarakat Indonesia akan di preprocessing menggunakan tokenisasi, case folding, serta penghapusan stopwords. Data hasil preprocessing akan dilakukan ektraksi fitur Term Frequency-Inverse Document Frequency (TF-IDF), dengan satu term adalah sebuah n-grams dan akan dilakukan klasifikasi menggunakan metode naïve Bayes dan Support Vector Machine (SVM). Hasil dari klasifikasi sentiment menunjukkan bahwa metode SVM lebih baik daripada Naïve Bayes, khususnya SVM dengan menggunakan kernel radial basis karena memiliki F1-score, recall, dan accuracy yang lebih tinggi.===================================================================================================Life in our current society undergoes many changes as a result of the development of science and technology. People have become more reactive in responding to phenomena around them, including news, policies, and government efforts to tackle the COVID-19 pandemic. Public feedback regarding the government's efforts to cope with disasters can be used as evaluation material to improve performance. To get results that can be seen clearly, a classification process is used to classify public opinions into opinions with positive sentiments and negative sentiments. Text data obtained from Indonesian people's tweets will be preprocessed using tokenization, case folding, and removal of stop words. The data from the preprocessing will be extracted with Term Frequency-Inverse Document Frequency (TF-IDF), with one term being n-grams and will be classified using the Nave Bayes method and Support Vector Machine (SVM). The results of the sentiment classification show that the SVM method is better than Naïve Bayes, especially SVM using a radial basis kernel because it has a higher mean  F1-score, recall, and accuracy."
Aspect-Based Sentiment Analysis Pada Ulasan Konsumen Terhadap Kualitas Layanan PT Citilink Indonesia.,"Lestarie, Maisa Haifa",http://repository.its.ac.id/107066/,"Transportasi udara yang menjadi moda transportasi paling sering digunakan oleh konsumen Indonesia. Terciptanya konsep penerbangan Low-Cost Carier (LCC) dimana penerbangan menerapkan strategi penurunan biaya operasional dan mengoptikmalkan biaya disetiap lini. Kompetisi maskapai penerbangan lowcost carrier yang tinggi mendorong perusahaan untuk menguatkan merek dan mengembangkan strategi. Salah satu maskapai LCC di bawah naungan Garuda Indonesia yaitu PT Citilink Indonesia sebagai upaya Garuda Indonesia untuk bersaing pada segment budget traveler. Pada pelaksanaannya PT Citilink Indonesia dinilai memberi informasi delay secara mendadak dan juga penurunan layanan call center dalam menangani keluhan penumpang. Kualitas layanan berpengaruh pada brand image dan brand trust sebagai faktor yang menentukan loyalitas konsumen. Berdasarkan hal tersebut dapat dilakukan analisis sentimen untuk mengetahui pandangan konsumen terhadap PT Citilink Indonesia dengan mengukur kualitas layanan berdasarkan aspek. Metode yang digunakan adalah Aspect Based Sentiment Analysis dengan algoritma Naïve Bayes Classifier dan word2vec. Hasil dari penelitian ini berupa sentimen negatif terhadap aspek tangible, responsiveness, reliability, dan assurance dengan aspect-based sentiment analysis menghasilkan akurasi klasifikasi kelas sentimen sebesar 89% dan kelas aspek sebesar 62%.=============================================================================================================================Air transportation is the most frequently used mode of transportation by Indonesian consumers. The creation of the Low-Cost Carrier (LCC) flight concept where flights implement a strategy of reducing operational costs and optimizing costs in every line. High low-cost carrier airline competition encourages companies to strengthen brands and develop strategies. One of the LCC airlines under Garuda Indonesia is PT Citilink Indonesia as Garuda Indonesia's effort to compete in the budget traveler segment. In its implementation, PT Citilink Indonesia is considered to provide sudden delay information also a decrease in call center services in handling passenger complaints. Service quality affects brand image and brand trust as factors that determine consumer loyalty. Based on this, sentiment analysis can be carried out to determine consumer views on PT Citilink Indonesia by measuring service quality based on aspects. The method used is Aspect Based Sentiment Analysis with the Naïve Bayes Classifier algorithm and word2vec. The results of this study are negative sentiments towards tangible, responsive, reliability, and assurance aspects with aspect-based sentiment analysis resulting in a sentiment class classification accuracy of 89% and an aspect class of 62%."
Pengembangan Model Prediksi Dan Model Bisnis Pada Pembiayaan Kendaraan Berbasis Data Mining.,"Lupitadevi, Citra Judith",http://repository.its.ac.id/92534/,"Pembiayaan kendaraan merupakan salah satu kebutuhan yang diperlukan oleh konsumen pada saat membeli kendaraan. PT Mandiri Tunas Finance (MTF) merupakan salah satu perusahaan pembiayaan kendaraan di Indonesia. Total pembiayaan kendaraan yang telah disalurkan di 2020 adalah sebesar 16.7 trilun. Kondisi Pandemi Covid-19 yang terjadi sejak akhir tahun 2019, memberikan dampak yang signifikan terdapat bisnis perusahaan pembiayaan. Perusahaan pembiayaan mengalami penurunan sebesar 40%, hal ini didorong juga karena penurunan penjualan mobil sebesar 44.6% pada Tahun 2020 dibandingkan Tahun 2019. Sumber order PT Mandiri Tunas Finance mayoritas berasal dari penjualan dealer kendaraan. Turunnya penjualan mobil, berdampak langsung pada bisnis PT Mandiri Tunas Finance. Untuk mengatasi hal tersebut, perlu dikembangkan sumber order lain terutama yang berasal dari pengolahan database customer perusahaan (data mining). Dalam penelitian ini, akan dilakukan penerapan model prediksi dengan regresi logistik biner. Hal ini dilakukan dengan mengembangkan model untuk memprediksi customer yang akan melakukan pengambilan pembiayaan. Tingkat akurasi model prediksi akan diukur dengan menggunakan nilai Area Under Curve (AUC). Selain pengembangan model prediksi, juga dilakukan pengembangan model bisnis pembiayaan berbasis data mining dengan menggunakan pendekatan Businees Model Canvass. Hasil model regresi logistik biner, diketahui variabel prediktor yang mempengaruhi customer dalam mengambil pembiayaan mobil kembali adalah jangka waktu dari pembiayaan sebelumnya, penghasilan customer, jenis produk yang dibiayai, status kepemilikan rumah, status pernikahan, jenis pekerjaan customer dan pendidikan. Dengan pendekatan Area Under Curve diketahui akurasi model yang terbentuk adalah 95,803% yang artinya model ini baik untuk digunakan. Dalam menjalankan model bisnis berbasis data mining ini, perusahaan perlu membentuk fungsi data analytic dan penawaran secara aktif kepada customer.========================================================================================================================================Vehicle financing is one of the financing products needed by consumers when buying a vehicle. PT Mandiri Tunas Finance (MTF) is one of the vehicle financing companies in Indonesia. The total vehicle financing that has been disbursed by MTF in 2020 is 16.7 trillion. The Covid-19 Pandemic condition that has occurred since the end of 2019, has had a significant impact on the financing company business. Finance company’s disbursement decreased by 40%, this was also driven by a 44.6% decline in car sales in 2020 compared to 2019. The main source of orders for MTF comes from vehicle dealer sales. The decline in car sales had a direct impact on MTF’s business. To overcome this, it is necessary to develop other order sources, especially those from the company's customer database processing (data mining). In this research, the prediction model with binary logistic regression will be applied. A model will be used to predict which customers will take financing. The accuracy of the prediction model will be measured using Area Under Curve (AUC) values. In addition, the development of a data mining-based financing business model is also carried out using the Business Model Canvass approach. The results of binary logistic regression models, predictor variables that affect customers in car financing are the period of previous financing, salary, type of product financed, homeownership status, marital status, customer employment type, and education. With the Area Under Curve approach, the accuracy of the model formed is 95.803% which means that this model is good to use. In carrying out this data mining-based business model, companies need to form data analytic functions and build offer activities to customers."
Model Manajemen Persediaan Spare Part Pada Alat Berat Pelabuhan Untuk Meningkatkan Availability.,"Mahardika, I Gede Widya",http://repository.its.ac.id/117176/,"Penelitian ini mengkaji permasalahan pada salah satu terminal petikemas di Indonesia yang menghadapi tantangan dalam pengelolaan suku cadang kritis yang berdampak pada operasional dan ketersediaan alat. Data operasional perusahaan menunjukkan tingkat availability alat straddle carrier hanya mencapai 69,33% pada tahun 2023, di bawah target KPI. Data historis menunjukkan bahwa sekitar 56% dari total downtime disebabkan oleh waktu menunggu ketersediaan suku cadang. Untuk mengatasi permasalahan tersebut, dikembangkan model optimasi manajemen persediaan berbasis continuous review (Q, r) yang mengintegrasikan variabel lead time dan ketidakpastian permintaan berdasarkan pola distribusi permintaan historis. Pengujian model ini dilakukan melalui simulasi Monte Carlo dengan mengaplikasikan berbagai skenario kebutuhan pada 10 jenis spare part yang dipilih berdasarkan tingkat kekritisannya. Performa model dievaluasi menggunakan tiga parameter utama, yaitu total inventory cost (TIC), service level, dan availability. Hasil validasi menunjukkan bahwa model mampu merepresentasikan kondisi aktual dengan perbedaan hanya 1,6% dari data nyata, yang masih berada dalam batas toleransi kesalahan 5%. Implementasi skenario perbaikan dengan modifikasi setup pemesanan pada interval tiga bulan menghasilkan optimasi signifikan berupa reduksi TIC sebesar 33%, peningkatan service level spare part sebesar 7,8% mencapai 95%, serta peningkatan availability alat sebesar 4,9% menjadi 75%.===================================================================================================================================This research examines challenges faced by a container terminal in Indonesia in managing critical spare parts, which impact operations and equipment availability. Operational data from the company reveals that the availability rate of straddle carriers only reached 69.33% in 2023, falling below the KPI target. Historical data indicates that approximately 56% of total downtime was caused by delays in spare part availability. To address this issue, an optimization model for inventory management based on continuous review (Q, r) was developed, integrating lead time and demand uncertainty variables derived from historical demand distribution patterns. The model was tested through Monte Carlo simulations applied to various demand scenarios for 10 types of spare parts, selected based on their criticality. The model's performance was evaluated using three key parameters: total inventory cost (TIC), service level, and equipment availability. Validation results demonstrated that the model accurately represented actual conditions, with a deviation of only 1.6% from real-world data, well within the acceptable error margin of 5%. The implementation of improvement scenarios, involving modifications to ordering setups at three-month intervals, achieved significant optimization, including a 33% reduction in TIC, a 7.8% increase in spare parts service level to 95%, and a 4.9% improvement in equipment availability to 75%."
Implementasi 2D-CNN dengan Teknik Augmentasi EEG untuk Mendeteksi Kejang Epilepsi pada Dataset Siena Scalp EEG.,"Malinus, Azzura Mahendra Putra",http://repository.its.ac.id/117872/,"Epilepsi adalah sebuah penyakit otak dengan gejala yang dialami penderitanya berupa kejang epileptik yang berulang. Untuk mendiagnosis epilepsi, ahli neurologi menganalisis rekaman sinyal otak Electroencephalography (EEG) yang diperoleh dari pasien epilepsi. Masalah yang ditemui adalah proses analisis sinyal EEG untuk menentukan kejadian kejang epilepsi dapat memakan waktu cukup lama karena sinyal EEG memiliki karakteristik yang kompleks dan durasi yang panjang. Oleh karena itu, diperlukan sebuah sistem yang mampu melakukan hal tersebut secara otomatis untuk mempermudah pekerjaan para ahli neurologi. Pada tugas akhir ini, dibuat sebuah sistem yang dapat melakukan anotasi kejadian kejang epilepsi pada rekaman sinyal EEG secara otomatis. Sistem tersebut terdiri dari sebuah model deep learning dengan arsitekstur 2D Convolutional Neural Network (CNN) untuk mengklasifikasi segmen-segmen rekaman EEG dan sebuah aplikasi antarmuka yang menampilkan visualisasi sinyal dari input rekaman EEG dan hasil deteksi dari model deep learning tersebut. Dataset Siena Scalp EEG digunakan sebagai input pengembangan model dan diterapkan beberapa tahap preprocessing, seperti penamaan ulang dan pengurangan durasi, down sampling, bipolar montage, filter Butterworth bandpass, dan segmentasi dengan sliding window. Dari tahap preprocessing, diperoleh beberapa variasi input dengan menggunakan beberapa nilai pada variabel window, stride, dan chunk saat proses segmentasi dengan sliding window. Input-input yang dihasilkan digunakan untuk melatih model dengan menerapkan 5-Fold Cross Validation dan teknik augmentasi EEG, seperti time reverse, sign flip, fourier transform surrogate, dan frequency shift. Aplikasi antarmuka dikembangkan menggunakan HTML, CSS, dan JavaScript untuk sisi klien dan Flask untuk sisi server. Dari seluruh uji coba pengembangan model yang telah dilakukan, diperoleh hasil terbaik pada uji coba penerapan teknik augmentasi fourier transform surrogate dengan gangguan fase 0.8 terhadap model dasar 2D-CNN. Pada uji coba tersebut, input window 15 detik dengan stride 2.5 detik memberikan kinerja model terbaik, yaitu accuracy 91.80%, sensitivity 93.25%, specificity 90.37%, dan mean AUC 97%.===================================================================================================================================Epilepsy is a brain disease whose symptoms include recurrent epileptic seizures. To diagnose epilepsy, neurologists analyze Electroencephalography (EEG) brain signal recordings obtained from epilepsy patients. The problem encountered is that the process of analyzing EEG signals to determine the occurrence of epileptic seizures can take a long time because EEG signals have complex characteristics and long duration. Therefore, a system that is able to do this automatically is needed to facilitate the work of neurologists. In this undergraduate thesis, a system that can annotate epileptic seizure events on EEG signal recordings automatically is created. The system consists of a deep learning model with 2D Convolutional Neural Network (CNN) architecture to classify EEG recording segments and an interface application that displays signal visualization of EEG recording input and detection results from the deep learning model. The Siena Scalp EEG dataset is used as input for model development and several preprocessing stages are applied, such as renaming and duration reduction, down sampling, bipolar montage, Butterworth bandpass filter, and segmentation with sliding window. From the preprocessing stage, several input variations were obtained by using several values for the window, stride, and chunk variables during the sliding window segmentation process. The resulting inputs are used to train the model by applying 5-Fold Cross Validation and EEG augmentation techniques, such as time reverse, sign flip, fourier transform surrogate, and frequency shift. The application interface was developed using HTML, CSS, and JavaScript for the client side and Flask for the server side. From all the model development trials that have been conducted, the best results were obtained in the trial of applying the fourier transform surrogate augmentation technique with a phase noise of 0.8 to the 2D-CNN base model. In this trial, the 15-second input window and 2.5 second stride provide the best model performance, namely accuracy of 91.80%, sensitivity of 93.25%, specificity of 90.37%, and mean AUC of 97%."
Integrasi Servqual Dan Quality Function Deployment Sebagai Upaya Peningkatan Pelayanan Minimarket.,"Maslikhan, Akhmad",http://repository.its.ac.id/109569/,"ABSTRAKMinimarket Minimarket menyediakan produk sehari-hari dengan akses mudah dan jam buka panjang, berfungsi tidak hanya sebagai tempat berbelanja tetapi juga sebagai bagian dari perubahan bisnis dan ritel yang beradaptasi dengan kebutuhan masyarakat. Meskipun lebih kecil dari supermarket, minimarket berusaha menyediakan berbagai produk seperti makanan, minuman, barang rumah tangga, buku, dan kitab keagamaan. Tantangan utama yang dihadapi adalah meningkatnya ketidakpuasan pelanggan yang dapat berdampak negatif pada profitabilitas Minimarket Darut Taqwa yang telah beroperasi sejak 2004, menekankan kenyamanan, kepuasan pelanggan, dan pelayanan terbaik, serta bertujuan mengembangkan keterampilan wirausaha di kalangan santri. Untuk mengatasi ketidakpuasan pelanggan, digunakan analisis dengan metode SERVQUAL dan QFD. Penelitian ini menggunakan tujuh aspek penilaian SERVQUAL yaitu tangibility, reliability, responsiveness, assurance, empathy, communication, dan security. QFD digunakan untuk mengintegrasikan keinginan pelanggan yang diverifikasi oleh perusahaan. Hasil analisis QFD menunjukkan nilai Customer Importance tertinggi (4,60) pada indikator ""Biaya/harga produk sesuai dengan kualitas yang diberikan"" dan terendah (4,02) pada indikator ""Pegawai minimarket melantunkan sapaan kepada customer yang baru berkunjung"". Nilai Customer Satisfaction Level (SCL) tertinggi (4,20) pada indikator ""Kesigapan dan ketegasan keamanan dalam mengamankan serta menertibkan area minimarket"" dan terendah (3,69) pada indikator ""Minimarket sering mengadakan event (promo) atau potongan harga"". Pengolahan data menurut penilaian Techical Requirement menyoroti bahwa prioritas perbaikan tertinggi jatuh pada ""Pelatihan Skill Komunikasi oleh Pihak Manajemen"" dengan bobot total 72 (7,16%) karena kontribusinya yang signifikan terhadap peningkatan kepuasan pelanggan. Prioritas kedua adalah ""Pelatihan karyawan dalam melayani konsumen"" dengan bobot 63 (6,27%) untuk meningkatkan keterampilan layanan pelanggan. Prioritas ketiga adalah ""Memberikan pelatihan dan briefing kepada karyawan"" dengan bobot 53 (5,27%) untuk meningkatkan pengetahuan dan pemahaman tugas. Sedangkan prioritas terendah adalah ""Instore Promo sebagai upaya peningkatan penjulan pada periode tertentu"" dengan bobot 5 (0,50%) karena kontribusi yang rendah terhadap peningkatan pelayanan minimarket."
Klasifikasi NSCLC dengan Arsitektur DenseNet dan GLCM Untuk Deteksi Dini Kanker Paru-Paru Pada Citra CT-Scan.,"Maulana, Irgi Azarya Putra",http://repository.its.ac.id/112781/,"Kanker paru-paru atau kanker pulmoner merupakan penyakin yang memiliki variasi keganasan tergantung kondisi. Kanker paru-paru terjadi ketika sel-sel di dalam paru-paru mengalami pertumbuhan yang tidak terkendali dan menjadi ganas. Ada dua jenis kanker paru-paru utama yaitu Non-Small Cell Lung Cancer (NSCLC) dan Small Cell Lung Cancer (SCLC). NSCLC adalah jenis kanker paru-paru yang paling umum, mencakup sekitar 85% dari semua kasus kanker paru-paru. NSCLC terbagi menjadi beberapa subjenis, termasuk Pulmonary Adenocarcinoma (ADC), dan Pulmonary Squamous Cell Carcinoma (SqCC). Sedangkan SCLC lebih jarang terjadi dan tumbuh lebih cepat daripada NSCLC. SCLC juga lebih cenderung menyebar ke bagian tubuh lain pada saat diagnosis dibandingkan NSCLC. Skrining menggunakan CT scan dosis rendah, yang diizinkan saat ini, seringkali memiliki tingkat sensitivitas yang rendah dan tingkat positif palsu yang tinggi. Lebih dari 90% dari hasil positif sebenarnya tidak menunjukkan adanya kanker. Selain itu, saat ini tidak ada biomarker tambahan yang dapat meningkatkan sensitivitas skrining CT dosis rendah, terutama pada pasien yang memiliki nodul paru-paru yang tidak jelas. Maka dari itu pengembangan machine learning untuk pendiagnosaan kanker paru-paru memudahkan pendiagnosaan dan meningkatkan efisiensi dalam pendiagnosaan non-invasif. Menggunakan metode Gray Level Co-occurance Matrix (GLCM) dan Convolutional Neural Network (CNN) menggunakan arsitektur Densely Connected Convolutional Network (DenseNet) yang digabungkan untuk klasifikasi tipe berdasarkan tekstur yang dilihat dari keabuan dan bentuk serta ukuran nodul.=================================================================================================================================Lung cancer, or pulmonary cancer, is a disease with varying degrees of malignancy depending on the condition. Lung cancer occurs when cells within the lungs experience uncontrolled growth and become malignant. There are two primary types of lung cancer: Non-Small Cell Lung Cancer (NSCLC) and Small Cell Lung Cancer (SCLC). NSCLC is the most common type of lung cancer, accounting for approximately 85% of all lung cancer cases. NSCLC is further divided into subtypes, including pulmonary adenocarcinoma (ADC) and pulmonary squamous cell carcinoma (SqCC). In contrast, SCLC is less common and tends to grow more rapidly than NSCLC, with a higher tendency to spread to other parts of the body at the time of diagnosis. Screening using low-dose CT scans, as currently permitted, often has low sensitivity and a high rate of false positives. More than 90% of positive results do not actually indicate the presence of cancer. Additionally, there are currently no additional biomarkers available to improve the sensitivity of low-dose CT screening, particularly for patients with unclear lung nodules. Therefore, the development of machine learning for lung cancer diagnosis would facilitate non-invasive diagnosis and improve diagnostic efficiency. Using methods such as the Gray Level Co-occurrence Matrix (GLCM) and Convolutional Neural Network (CNN) with the DenseNet architecture combined for classification based on texture, grayscale, shape, and size of nodules."
Reidentifikasi Orang pada Data Visible-Infrared Menggunakan Klasifier Swin Transformer.,"Maulana, Muhammad Azhar",http://repository.its.ac.id/111781/,"Reidentifikasi orang menjadi topik penelitian yang sangat hanget dalam beberapa tahun terakhir dalam visi komputer. Dalam penelitian ini mengusulkan pendekatan reidentifikasi orang yang menggunakan klasifier Swin Transformer pada data citra visual-infrared. Swin Transformer, sebuah arsitektur Transformer yang terkenal karena kinerjanya yang unggul dalam tugas-tugas visi komputer dalam citra visible, diadaptasi untuk tugas reidentifikasi orang dalam citra visible-infrared. Dataset visible-infrared yang digunakan pada penelitian ini adalah dataset RegDB, kemudian model Swin Transformer diaplikasikan sebagai klasifier. Pendekatan ini memungkinkan penangkapan fitur yang efektif dari citra visual dan inframerah, memanfaatkan keunggulan Swin Transformer dalam menangkap dependensi lokal dan global."
Kontrol Formasi Kooperatif dan Penghindaran Rintangan pada Multiple Unmanned Aerial Vehicle dengan Guidance Route dan Artificial Potential Field.,"Maynad, Vincentius Charles",http://repository.its.ac.id/95976/,"Dalam beberapa tahun terakhir, kontrol kooperatif sistem multi-UAV (Unmanned Aerial Vehicle) telah menjadi topik penelitian yang hangat di bidang kontrol penerbangan. Diantaranya, pengendalian formasi dan penghindaran rintangan adalah salah dua tema yang penting untuk diteliti karena kompleksitas kondisi permasalahan yang ingin diselesaikan selalu meningkat seiring waktu. Problema riil ini dapat dimodelkan sebagai permasalahan kontrol penghindaran rintangan pada formasi quadcopter. Sekelompok quadcopter ditugaskan untuk membentuk formasi (berupa bentuk V), bergerak dalam formasi menuju titik tujuan, menghindari tabrakan antar robot, dan menghindari tabrakan dengan rintangan. Model quadcopter yang digunakan adalah Quanser Qdrone dengan enam derajat kebebasan. Quadcopter dikontrol menggunakan fuzzy state feedback controller untuk melacak tujuan. Pada tugas akhir ini dirancang suatu sistem pengaturan formasi menggunakan pendekatan guidance route dengan penghindaran rintangan menggunakan metode Artificial Potential Field (APF). Selain itu, akan dibandingkan dua strategi penghindaran, penghindaran total dan penghindaran minimal. Berdasarkan hasil simulasi, algoritma kontrol yang dikembangkan berhasil melaksanakan tugas pengaturan formasi dan penghindaran rintangan pada sekelompok quadcopter. Hal ini dibuktikan dengan rata-rata indeks performansi formasi bernilai 0.800025 untuk strategi penghindaran total dan 1.2227125 untuk strategi penghindaran minimal serta trayektori masing-masing quadcopteryang bebas tabrakan. ==============================================================================================In recent years, cooperative control of multi-UAV (Unmanned Aerial Vehicle) systems has become a hot research topic in the field of flight control. Among them, formation control and obstacle avoidance are two important themes to study because the complexity of the problem conditions to be solved always increases with time. This real problem can be modeled as an obstacle avoidance control problem in a quadcopter formation. A group of quadcopters is assigned to form a formation (in the form of a V shape), move in formation towards a destination point, avoid collisions between robots, and avoid collisions with obstacles. The quadcopter model used is the Quanser Qdrone with six degrees of freedom. The quadcopter is controlled using a fuzzy state feedback controller to track objectives. In this final project, a formation management system is designed using the guidance route approach with obstacle avoidance using the Artificial Potential Field (APF) method. Moreover, two avoidance strategies will be compared, total avoidance and minimum avoidance. Based on the simulation results, the developed control algorithm successfully performs the task of setting formation and obstacle avoidance on a group of quadcopters. This is evidenced by the average formation performance index of 0.800025 for total avoidance strategy and 1.2227125 for minimum avoidance strategy with the collision-free trajectories of each quadcopter."
